title,page_url,method,angle,reason,equipment,slug
Cable Row Bar Kneeling Crunch - Male,https://musclewiki.com/cables/male/abdominals/cable-row-bar-kneeling-crunch,auto,front,missing_video,other,cable-row-bar-kneeling-crunch
Cable Row Bar Kneeling Crunch - Male,https://musclewiki.com/cables/male/abdominals/cable-row-bar-kneeling-crunch,auto,side,missing_video,other,cable-row-bar-kneeling-crunch
Cable Row Bar Kneeling Crunch - Female,https://musclewiki.com/cables/female/abdominals/cable-row-bar-kneeling-crunch,auto,front,missing_video,other,cable-row-bar-kneeling-crunch
Cable Row Bar Kneeling Crunch - Female,https://musclewiki.com/cables/female/abdominals/cable-row-bar-kneeling-crunch,auto,side,missing_video,other,cable-row-bar-kneeling-crunch
Crunches - Male,https://musclewiki.com/bodyweight/male/abdominals/crunches,auto,front,missing_video,bodyweight,crunches
Crunches - Male,https://musclewiki.com/bodyweight/male/abdominals/crunches,auto,side,missing_video,bodyweight,crunches
Crunches - Female,https://musclewiki.com/bodyweight/female/abdominals/crunches,auto,front,missing_video,bodyweight,crunches
Crunches - Female,https://musclewiki.com/bodyweight/female/abdominals/crunches,auto,side,missing_video,bodyweight,crunches
Kettlebell Front Rack Curtsy Lunge (Double) - Male,https://musclewiki.com/kettlebells/male/abdominals/kettlebell-front-rack-curtsy-lunge-double,auto,front,missing_video,kettlebells,kettlebell-front-rack-curtsy-lunge-double
Kettlebell Front Rack Curtsy Lunge (Double) - Male,https://musclewiki.com/kettlebells/male/abdominals/kettlebell-front-rack-curtsy-lunge-double,auto,side,missing_video,kettlebells,kettlebell-front-rack-curtsy-lunge-double
Kettlebell Front Rack Curtsy Lunge (Double) - Female,https://musclewiki.com/kettlebells/female/abdominals/kettlebell-front-rack-curtsy-lunge-double,auto,front,missing_video,kettlebells,kettlebell-front-rack-curtsy-lunge-double
Kettlebell Front Rack Curtsy Lunge (Double) - Female,https://musclewiki.com/kettlebells/female/abdominals/kettlebell-front-rack-curtsy-lunge-double,auto,side,missing_video,kettlebells,kettlebell-front-rack-curtsy-lunge-double
Kettlebell Front Rack Forward Lunge (Double) - Male,https://musclewiki.com/kettlebells/male/abdominals/kettlebell-front-rack-forward-lunge-double,auto,front,missing_video,kettlebells,kettlebell-front-rack-forward-lunge-double
Kettlebell Front Rack Forward Lunge (Double) - Male,https://musclewiki.com/kettlebells/male/abdominals/kettlebell-front-rack-forward-lunge-double,auto,side,missing_video,kettlebells,kettlebell-front-rack-forward-lunge-double
Kettlebell Front Rack Forward Lunge (Double) - Female,https://musclewiki.com/kettlebells/female/abdominals/kettlebell-front-rack-forward-lunge-double,auto,front,missing_video,kettlebells,kettlebell-front-rack-forward-lunge-double
Kettlebell Front Rack Forward Lunge (Double) - Female,https://musclewiki.com/kettlebells/female/abdominals/kettlebell-front-rack-forward-lunge-double,auto,side,missing_video,kettlebells,kettlebell-front-rack-forward-lunge-double
Kettlebell Front Rack Lateral Lunge (Double) - Male,https://musclewiki.com/kettlebells/male/abdominals/kettlebell-front-rack-lateral-lunge-double,auto,front,missing_video,kettlebells,kettlebell-front-rack-lateral-lunge-double
Kettlebell Front Rack Lateral Lunge (Double) - Male,https://musclewiki.com/kettlebells/male/abdominals/kettlebell-front-rack-lateral-lunge-double,auto,side,missing_video,kettlebells,kettlebell-front-rack-lateral-lunge-double
Kettlebell Front Rack Lateral Lunge (Double) - Female,https://musclewiki.com/kettlebells/female/abdominals/kettlebell-front-rack-lateral-lunge-double,auto,front,missing_video,kettlebells,kettlebell-front-rack-lateral-lunge-double
Kettlebell Front Rack Lateral Lunge (Double) - Female,https://musclewiki.com/kettlebells/female/abdominals/kettlebell-front-rack-lateral-lunge-double,auto,side,missing_video,kettlebells,kettlebell-front-rack-lateral-lunge-double
Kettlebell Front Rack Reverse Lunge (Double) - Male,https://musclewiki.com/kettlebells/male/abdominals/kettlebell-front-rack-reverse-lunge-double,auto,front,missing_video,kettlebells,kettlebell-front-rack-reverse-lunge-double
Kettlebell Front Rack Reverse Lunge (Double) - Male,https://musclewiki.com/kettlebells/male/abdominals/kettlebell-front-rack-reverse-lunge-double,auto,side,missing_video,kettlebells,kettlebell-front-rack-reverse-lunge-double
Kettlebell Front Rack Reverse Lunge (Double) - Female,https://musclewiki.com/kettlebells/female/abdominals/kettlebell-front-rack-reverse-lunge-double,auto,front,missing_video,kettlebells,kettlebell-front-rack-reverse-lunge-double
Kettlebell Front Rack Reverse Lunge (Double) - Female,https://musclewiki.com/kettlebells/female/abdominals/kettlebell-front-rack-reverse-lunge-double,auto,side,missing_video,kettlebells,kettlebell-front-rack-reverse-lunge-double
Laying Bent Leg Raise - Male,https://musclewiki.com/bodyweight/male/abdominals/laying-bent-leg-raise,auto,front,missing_video,bodyweight,laying-bent-leg-raise
Laying Bent Leg Raise - Male,https://musclewiki.com/bodyweight/male/abdominals/laying-bent-leg-raise,auto,side,missing_video,bodyweight,laying-bent-leg-raise
Laying Bent Leg Raise - Female,https://musclewiki.com/bodyweight/female/abdominals/laying-bent-leg-raise,auto,front,missing_video,bodyweight,laying-bent-leg-raise
Laying Bent Leg Raise - Female,https://musclewiki.com/bodyweight/female/abdominals/laying-bent-leg-raise,auto,side,missing_video,bodyweight,laying-bent-leg-raise
Plank Saw - Male,https://musclewiki.com/bodyweight/male/abdominals/plank-2-saw,auto,front,missing_video,bodyweight,plank-2-saw
Plank Saw - Male,https://musclewiki.com/bodyweight/male/abdominals/plank-2-saw,auto,side,missing_video,bodyweight,plank-2-saw
Plank Saw - Female,https://musclewiki.com/bodyweight/female/abdominals/plank-2-saw,auto,front,missing_video,bodyweight,plank-2-saw
Plank Saw - Female,https://musclewiki.com/bodyweight/female/abdominals/plank-2-saw,auto,side,missing_video,bodyweight,plank-2-saw
Pushup to Renegade Row - Male,https://musclewiki.com/dumbbells/male/abdominals/pushup-to-renegade-row,auto,front,missing_video,dumbbells,pushup-to-renegade-row
Pushup to Renegade Row - Male,https://musclewiki.com/dumbbells/male/abdominals/pushup-to-renegade-row,auto,side,missing_video,dumbbells,pushup-to-renegade-row
Pushup to Renegade Row - Female,https://musclewiki.com/dumbbells/female/abdominals/pushup-to-renegade-row,auto,front,missing_video,dumbbells,pushup-to-renegade-row
Pushup to Renegade Row - Female,https://musclewiki.com/dumbbells/female/abdominals/pushup-to-renegade-row,auto,side,missing_video,dumbbells,pushup-to-renegade-row
Serratus Activation Active Plank - Male,https://musclewiki.com/recovery/male/abdominals/serratus-activation-active-plank,auto,front,missing_video,recovery,serratus-activation-active-plank
Serratus Activation Active Plank - Male,https://musclewiki.com/recovery/male/abdominals/serratus-activation-active-plank,auto,side,missing_video,recovery,serratus-activation-active-plank
Serratus Activation Active Plank - Female,https://musclewiki.com/recovery/female/abdominals/serratus-activation-active-plank,auto,front,missing_video,recovery,serratus-activation-active-plank
Serratus Activation Active Plank - Female,https://musclewiki.com/recovery/female/abdominals/serratus-activation-active-plank,auto,side,missing_video,recovery,serratus-activation-active-plank
TRX Kneeling Ab Rollout - Male,https://musclewiki.com/trx/male/abdominals/trx-kneeling-ab-rollout,auto,front,missing_video,trx,trx-kneeling-ab-rollout
TRX Kneeling Ab Rollout - Male,https://musclewiki.com/trx/male/abdominals/trx-kneeling-ab-rollout,auto,side,missing_video,trx,trx-kneeling-ab-rollout
TRX Kneeling Ab Rollout - Female,https://musclewiki.com/trx/female/abdominals/trx-kneeling-ab-rollout,auto,front,missing_video,trx,trx-kneeling-ab-rollout
TRX Kneeling Ab Rollout - Female,https://musclewiki.com/trx/female/abdominals/trx-kneeling-ab-rollout,auto,side,missing_video,trx,trx-kneeling-ab-rollout
Toe Tap - Male,https://musclewiki.com/cardio/male/abdominals/toe-tap,auto,front,missing_video,cardio,toe-tap
Toe Tap - Male,https://musclewiki.com/cardio/male/abdominals/toe-tap,auto,side,missing_video,cardio,toe-tap
Toe Tap - Female,https://musclewiki.com/cardio/female/abdominals/toe-tap,auto,front,missing_video,cardio,toe-tap
Toe Tap - Female,https://musclewiki.com/cardio/female/abdominals/toe-tap,auto,side,missing_video,cardio,toe-tap
Urdhva Dhanurasana Wheel Pose - Male,https://musclewiki.com/yoga/male/abdominals/urdhva-dhanurasana-wheel-pose,auto,front,missing_video,yoga,urdhva-dhanurasana-wheel-pose
Urdhva Dhanurasana Wheel Pose - Male,https://musclewiki.com/yoga/male/abdominals/urdhva-dhanurasana-wheel-pose,auto,side,missing_video,yoga,urdhva-dhanurasana-wheel-pose
Urdhva Dhanurasana Wheel Pose - Female,https://musclewiki.com/yoga/female/abdominals/urdhva-dhanurasana-wheel-pose,auto,front,missing_video,yoga,urdhva-dhanurasana-wheel-pose
Urdhva Dhanurasana Wheel Pose - Female,https://musclewiki.com/yoga/female/abdominals/urdhva-dhanurasana-wheel-pose,auto,side,missing_video,yoga,urdhva-dhanurasana-wheel-pose
Alphabet - Male,https://musclewiki.com/recovery/male/ankles/alphabet,auto,front,missing_video,recovery,alphabet
Alphabet - Male,https://musclewiki.com/recovery/male/ankles/alphabet,auto,side,missing_video,recovery,alphabet
Alphabet - Female,https://musclewiki.com/recovery/female/ankles/alphabet,auto,front,missing_video,recovery,alphabet
Alphabet - Female,https://musclewiki.com/recovery/female/ankles/alphabet,auto,side,missing_video,recovery,alphabet
Ankle Circle - Male,https://musclewiki.com/recovery/male/ankles/ankle-circle,auto,front,missing_video,recovery,ankle-circle
Ankle Circle - Male,https://musclewiki.com/recovery/male/ankles/ankle-circle,auto,side,missing_video,recovery,ankle-circle
Ankle Circle - Female,https://musclewiki.com/recovery/female/ankles/ankle-circle,auto,front,missing_video,recovery,ankle-circle
Ankle Circle - Female,https://musclewiki.com/recovery/female/ankles/ankle-circle,auto,side,missing_video,recovery,ankle-circle
Dorsal Flexion Hold - Male,https://musclewiki.com/recovery/male/ankles/dorsal-flexion-hold,auto,front,missing_video,recovery,dorsal-flexion-hold
Dorsal Flexion Hold - Male,https://musclewiki.com/recovery/male/ankles/dorsal-flexion-hold,auto,side,missing_video,recovery,dorsal-flexion-hold
Dorsal Flexion Hold - Female,https://musclewiki.com/recovery/female/ankles/dorsal-flexion-hold,auto,front,missing_video,recovery,dorsal-flexion-hold
Dorsal Flexion Hold - Female,https://musclewiki.com/recovery/female/ankles/dorsal-flexion-hold,auto,side,missing_video,recovery,dorsal-flexion-hold
Eversions - Male,https://musclewiki.com/recovery/male/ankles/eversions,auto,front,missing_video,recovery,eversions
Eversions - Male,https://musclewiki.com/recovery/male/ankles/eversions,auto,side,missing_video,recovery,eversions
Eversions - Female,https://musclewiki.com/recovery/female/ankles/eversions,auto,front,missing_video,recovery,eversions
Eversions - Female,https://musclewiki.com/recovery/female/ankles/eversions,auto,side,missing_video,recovery,eversions
Cable Chest Press - Male,https://musclewiki.com/cables/male/anterior-deltoid/cable-chest-press,auto,front,missing_video,other,cable-chest-press
Cable Chest Press - Male,https://musclewiki.com/cables/male/anterior-deltoid/cable-chest-press,auto,side,missing_video,other,cable-chest-press
Cable Chest Press - Female,https://musclewiki.com/cables/female/anterior-deltoid/cable-chest-press,auto,front,missing_video,other,cable-chest-press
Cable Chest Press - Female,https://musclewiki.com/cables/female/anterior-deltoid/cable-chest-press,auto,side,missing_video,other,cable-chest-press
Band Curl - Male,https://musclewiki.com/band/male/biceps/band-curl,auto,front,missing_video,other,band-curl
Band Curl - Male,https://musclewiki.com/band/male/biceps/band-curl,auto,side,missing_video,other,band-curl
Band Curl - Female,https://musclewiki.com/band/female/biceps/band-curl,auto,front,missing_video,other,band-curl
Band Curl - Female,https://musclewiki.com/band/female/biceps/band-curl,auto,side,missing_video,other,band-curl
Band Reverse Curl - Male,https://musclewiki.com/band/male/biceps/band-reverse-curl,auto,front,missing_video,other,band-reverse-curl
Band Reverse Curl - Male,https://musclewiki.com/band/male/biceps/band-reverse-curl,auto,side,missing_video,other,band-reverse-curl
Band Reverse Curl - Female,https://musclewiki.com/band/female/biceps/band-reverse-curl,auto,front,missing_video,other,band-reverse-curl
Band Reverse Curl - Female,https://musclewiki.com/band/female/biceps/band-reverse-curl,auto,side,missing_video,other,band-reverse-curl
Cable Row Bar Standing Row - Male,https://musclewiki.com/cables/male/biceps/cable-row-bar-standing-row,auto,front,missing_video,other,cable-row-bar-standing-row
Cable Row Bar Standing Row - Male,https://musclewiki.com/cables/male/biceps/cable-row-bar-standing-row,auto,side,missing_video,other,cable-row-bar-standing-row
Cable Row Bar Standing Row - Female,https://musclewiki.com/cables/female/biceps/cable-row-bar-standing-row,auto,front,missing_video,other,cable-row-bar-standing-row
Cable Row Bar Standing Row - Female,https://musclewiki.com/cables/female/biceps/cable-row-bar-standing-row,auto,side,missing_video,other,cable-row-bar-standing-row
Cable Supinating Row - Male,https://musclewiki.com/cables/male/biceps/cable-supinating-row,auto,front,missing_video,other,cable-supinating-row
Cable Supinating Row - Male,https://musclewiki.com/cables/male/biceps/cable-supinating-row,auto,side,missing_video,other,cable-supinating-row
Cable Supinating Row - Female,https://musclewiki.com/cables/female/biceps/cable-supinating-row,auto,front,missing_video,other,cable-supinating-row
Cable Supinating Row - Female,https://musclewiki.com/cables/female/biceps/cable-supinating-row,auto,side,missing_video,other,cable-supinating-row
Corpse Pose - Male,https://musclewiki.com/yoga/male/biceps/corpe-pose,auto,front,missing_video,yoga,corpe-pose
Corpse Pose - Male,https://musclewiki.com/yoga/male/biceps/corpe-pose,auto,side,missing_video,yoga,corpe-pose
Corpse Pose - Female,https://musclewiki.com/yoga/female/biceps/corpe-pose,auto,front,missing_video,yoga,corpe-pose
Corpse Pose - Female,https://musclewiki.com/yoga/female/biceps/corpe-pose,auto,side,missing_video,yoga,corpe-pose
Kettlebell Rear Delt Row (Double) - Male,https://musclewiki.com/kettlebells/male/biceps/kettlebell-rear-delt-row-double,auto,front,missing_video,kettlebells,kettlebell-rear-delt-row-double
Kettlebell Rear Delt Row (Double) - Male,https://musclewiki.com/kettlebells/male/biceps/kettlebell-rear-delt-row-double,auto,side,missing_video,kettlebells,kettlebell-rear-delt-row-double
Kettlebell Rear Delt Row (Double) - Female,https://musclewiki.com/kettlebells/female/biceps/kettlebell-rear-delt-row-double,auto,front,missing_video,kettlebells,kettlebell-rear-delt-row-double
Kettlebell Rear Delt Row (Double) - Female,https://musclewiki.com/kettlebells/female/biceps/kettlebell-rear-delt-row-double,auto,side,missing_video,kettlebells,kettlebell-rear-delt-row-double
Cable Bar Calve Raise - Male,https://musclewiki.com/cables/male/calves/cable-bar-calve-raise,auto,front,missing_video,other,cable-bar-calve-raise
Cable Bar Calve Raise - Male,https://musclewiki.com/cables/male/calves/cable-bar-calve-raise,auto,side,missing_video,other,cable-bar-calve-raise
Cable Bar Calve Raise - Female,https://musclewiki.com/cables/female/calves/cable-bar-calve-raise,auto,front,missing_video,other,cable-bar-calve-raise
Cable Bar Calve Raise - Female,https://musclewiki.com/cables/female/calves/cable-bar-calve-raise,auto,side,missing_video,other,cable-bar-calve-raise
Walk Your Downward Dog - Male,https://musclewiki.com/yoga/male/calves/walk-your-downward-dog,auto,front,missing_video,yoga,walk-your-downward-dog
Walk Your Downward Dog - Male,https://musclewiki.com/yoga/male/calves/walk-your-downward-dog,auto,side,missing_video,yoga,walk-your-downward-dog
Walk Your Downward Dog - Female,https://musclewiki.com/yoga/female/calves/walk-your-downward-dog,auto,front,missing_video,yoga,walk-your-downward-dog
Walk Your Downward Dog - Female,https://musclewiki.com/yoga/female/calves/walk-your-downward-dog,auto,side,missing_video,yoga,walk-your-downward-dog
