title,url,equipment,gender,muscle,slug
Barbell Bent Over Row,https://musclewiki.com/barbell/female/biceps/barbell-bent-over-row,barbell,female,biceps,barbell-bent-over-row
Barbell Reverse Curl,https://musclewiki.com/barbell/female/biceps/barbell-reverse-curl,barbell,female,biceps,barbell-reverse-curl
Barbell Landmine Row,https://musclewiki.com/barbell/female/biceps/barbell-landmine-row,barbell,female,biceps,barbell-landmine-row
Barbell Long Landmine Row,https://musclewiki.com/barbell/female/biceps/barbell-long-landmine-row,barbell,female,biceps,barbell-long-landmine-row
Barbell Meadows Row,https://musclewiki.com/barbell/female/biceps/barbell-meadows-row,barbell,female,biceps,barbell-meadows-row
Barbell Pronated Pendlay Row,https://musclewiki.com/barbell/female/biceps/barbell-pronated-pendlay-row,barbell,female,biceps,barbell-pronated-pendlay-row
Barbell Pronated Row,https://musclewiki.com/barbell/female/biceps/barbell-pronated-row,barbell,female,biceps,barbell-pronated-row
Barbell Supinated Pendlay Row,https://musclewiki.com/barbell/female/biceps/barbell-supinated-pendlay-row,barbell,female,biceps,barbell-supinated-pendlay-row
Barbell Supinated Row,https://musclewiki.com/barbell/female/biceps/barbell-supinated-row,barbell,female,biceps,barbell-supinated-row
Landmine Bicep Curl,https://musclewiki.com/barbell/female/biceps/landmine-bicep-curl,barbell,female,biceps,landmine-bicep-curl
Landmine Concentration Curl,https://musclewiki.com/barbell/female/biceps/landmine-concentration-curl,barbell,female,biceps,landmine-concentration-curl
Landmine T Bar Rows,https://musclewiki.com/barbell/female/biceps/landmine-t-bar-rows,barbell,female,biceps,landmine-t-bar-rows
Barbell Drag Curl,https://musclewiki.com/barbell/female/biceps/barbell-drag-curl,barbell,female,biceps,barbell-drag-curl
EZ Bar Reverse Preacher Curl,https://musclewiki.com/barbell/female/biceps/ez-bar-reverse-preacher-curl,barbell,female,biceps,ez-bar-reverse-preacher-curl
EZ Bar Preacher Curl,https://musclewiki.com/barbell/female/biceps/ez-bar-preacher-curl,barbell,female,biceps,ez-bar-preacher-curl
Dumbbell Curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-curl,dumbbells,female,biceps,dumbbell-curl
Dumbbell Hammer Curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-hammer-curl,dumbbells,female,biceps,dumbbell-hammer-curl
Dumbbell Reverse Curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-reverse-curl,dumbbells,female,biceps,dumbbell-reverse-curl
Dumbbell Rear Delt Row,https://musclewiki.com/dumbbells/female/biceps/dumbbell-rear-delt-row,dumbbells,female,biceps,dumbbell-rear-delt-row
