title,url,equipment,gender,muscle,slug,missing_angle,exercise_key
Kettlebell Rear Delt Row (Double),https://musclewiki.com/kettlebells/male/biceps/kettlebell-rear-delt-row-double,kettlebells,male,biceps,kettlebell-rear-delt-row-double,front,kettlebells|biceps|kettlebell-rear-delt-row-double
Kettlebell Rear Delt Row (Double),https://musclewiki.com/kettlebells/male/biceps/kettlebell-rear-delt-row-double,kettlebells,male,biceps,kettlebell-rear-delt-row-double,side,kettlebells|biceps|kettlebell-rear-delt-row-double
Kettlebell Rear Delt Row (Double),https://musclewiki.com/kettlebells/female/biceps/kettlebell-rear-delt-row-double,kettlebells,female,biceps,kettlebell-rear-delt-row-double,front,kettlebells|biceps|kettlebell-rear-delt-row-double
Kettlebell Rear Delt Row (Double),https://musclewiki.com/kettlebells/female/biceps/kettlebell-rear-delt-row-double,kettlebells,female,biceps,kettlebell-rear-delt-row-double,side,kettlebells|biceps|kettlebell-rear-delt-row-double
Cable Row Bar Standing Row,https://musclewiki.com/cables/male/biceps/cable-row-bar-standing-row,cables,male,biceps,cable-row-bar-standing-row,front,cables|biceps|cable-row-bar-standing-row
Cable Row Bar Standing Row,https://musclewiki.com/cables/male/biceps/cable-row-bar-standing-row,cables,male,biceps,cable-row-bar-standing-row,side,cables|biceps|cable-row-bar-standing-row
Cable Row Bar Standing Row,https://musclewiki.com/cables/female/biceps/cable-row-bar-standing-row,cables,female,biceps,cable-row-bar-standing-row,front,cables|biceps|cable-row-bar-standing-row
Cable Row Bar Standing Row,https://musclewiki.com/cables/female/biceps/cable-row-bar-standing-row,cables,female,biceps,cable-row-bar-standing-row,side,cables|biceps|cable-row-bar-standing-row
Cable Supinating Row,https://musclewiki.com/cables/male/biceps/cable-supinating-row,cables,male,biceps,cable-supinating-row,front,cables|biceps|cable-supinating-row
Cable Supinating Row,https://musclewiki.com/cables/male/biceps/cable-supinating-row,cables,male,biceps,cable-supinating-row,side,cables|biceps|cable-supinating-row
Cable Supinating Row,https://musclewiki.com/cables/female/biceps/cable-supinating-row,cables,female,biceps,cable-supinating-row,front,cables|biceps|cable-supinating-row
Cable Supinating Row,https://musclewiki.com/cables/female/biceps/cable-supinating-row,cables,female,biceps,cable-supinating-row,side,cables|biceps|cable-supinating-row
Band Curl,https://musclewiki.com/band/male/biceps/band-curl,band,male,biceps,band-curl,front,band|biceps|band-curl
Band Curl,https://musclewiki.com/band/male/biceps/band-curl,band,male,biceps,band-curl,side,band|biceps|band-curl
Band Curl,https://musclewiki.com/band/female/biceps/band-curl,band,female,biceps,band-curl,front,band|biceps|band-curl
Band Curl,https://musclewiki.com/band/female/biceps/band-curl,band,female,biceps,band-curl,side,band|biceps|band-curl
Band Reverse Curl,https://musclewiki.com/band/male/biceps/band-reverse-curl,band,male,biceps,band-reverse-curl,front,band|biceps|band-reverse-curl
Band Reverse Curl,https://musclewiki.com/band/male/biceps/band-reverse-curl,band,male,biceps,band-reverse-curl,side,band|biceps|band-reverse-curl
Band Reverse Curl,https://musclewiki.com/band/female/biceps/band-reverse-curl,band,female,biceps,band-reverse-curl,front,band|biceps|band-reverse-curl
Band Reverse Curl,https://musclewiki.com/band/female/biceps/band-reverse-curl,band,female,biceps,band-reverse-curl,side,band|biceps|band-reverse-curl
Corpse Pose,https://musclewiki.com/yoga/male/biceps/corpe-pose,yoga,male,biceps,corpe-pose,front,yoga|biceps|corpe-pose
Corpse Pose,https://musclewiki.com/yoga/male/biceps/corpe-pose,yoga,male,biceps,corpe-pose,side,yoga|biceps|corpe-pose
